subject_id,session,sample,modality,synthetic,image_path
user_001,1,1,face,True,images/face/user_001/session_1/face_user_001_s1_sample1.png
user_001,1,1,fingerprint,True,images/fingerprint/user_001/session_1/fingerprint_user_001_s1_sample1.png
user_001,1,1,iris,True,images/iris/user_001/session_1/iris_user_001_s1_sample1.png
user_001,1,2,face,True,images/face/user_001/session_1/face_user_001_s1_sample2.png
user_001,1,2,fingerprint,True,images/fingerprint/user_001/session_1/fingerprint_user_001_s1_sample2.png
user_001,1,2,iris,True,images/iris/user_001/session_1/iris_user_001_s1_sample2.png
user_001,1,3,face,True,images/face/user_001/session_1/face_user_001_s1_sample3.png
user_001,1,3,fingerprint,True,images/fingerprint/user_001/session_1/fingerprint_user_001_s1_sample3.png
user_001,1,3,iris,True,images/iris/user_001/session_1/iris_user_001_s1_sample3.png
user_001,2,1,face,True,images/face/user_001/session_2/face_user_001_s2_sample1.png
user_001,2,1,fingerprint,True,images/fingerprint/user_001/session_2/fingerprint_user_001_s2_sample1.png
user_001,2,1,iris,True,images/iris/user_001/session_2/iris_user_001_s2_sample1.png
user_001,2,2,face,True,images/face/user_001/session_2/face_user_001_s2_sample2.png
user_001,2,2,fingerprint,True,images/fingerprint/user_001/session_2/fingerprint_user_001_s2_sample2.png
user_001,2,2,iris,True,images/iris/user_001/session_2/iris_user_001_s2_sample2.png
user_001,2,3,face,True,images/face/user_001/session_2/face_user_001_s2_sample3.png
user_001,2,3,fingerprint,True,images/fingerprint/user_001/session_2/fingerprint_user_001_s2_sample3.png
user_001,2,3,iris,True,images/iris/user_001/session_2/iris_user_001_s2_sample3.png
user_002,1,1,face,True,images/face/user_002/session_1/face_user_002_s1_sample1.png
user_002,1,1,fingerprint,True,images/fingerprint/user_002/session_1/fingerprint_user_002_s1_sample1.png
user_002,1,1,iris,True,images/iris/user_002/session_1/iris_user_002_s1_sample1.png
user_002,1,2,face,True,images/face/user_002/session_1/face_user_002_s1_sample2.png
user_002,1,2,fingerprint,True,images/fingerprint/user_002/session_1/fingerprint_user_002_s1_sample2.png
user_002,1,2,iris,True,images/iris/user_002/session_1/iris_user_002_s1_sample2.png
user_002,1,3,face,True,images/face/user_002/session_1/face_user_002_s1_sample3.png
user_002,1,3,fingerprint,True,images/fingerprint/user_002/session_1/fingerprint_user_002_s1_sample3.png
user_002,1,3,iris,True,images/iris/user_002/session_1/iris_user_002_s1_sample3.png
user_002,2,1,face,True,images/face/user_002/session_2/face_user_002_s2_sample1.png
user_002,2,1,fingerprint,True,images/fingerprint/user_002/session_2/fingerprint_user_002_s2_sample1.png
user_002,2,1,iris,True,images/iris/user_002/session_2/iris_user_002_s2_sample1.png
user_002,2,2,face,True,images/face/user_002/session_2/face_user_002_s2_sample2.png
user_002,2,2,fingerprint,True,images/fingerprint/user_002/session_2/fingerprint_user_002_s2_sample2.png
user_002,2,2,iris,True,images/iris/user_002/session_2/iris_user_002_s2_sample2.png
user_002,2,3,face,True,images/face/user_002/session_2/face_user_002_s2_sample3.png
user_002,2,3,fingerprint,True,images/fingerprint/user_002/session_2/fingerprint_user_002_s2_sample3.png
user_002,2,3,iris,True,images/iris/user_002/session_2/iris_user_002_s2_sample3.png
user_003,1,1,face,True,images/face/user_003/session_1/face_user_003_s1_sample1.png
user_003,1,1,fingerprint,True,images/fingerprint/user_003/session_1/fingerprint_user_003_s1_sample1.png
user_003,1,1,iris,True,images/iris/user_003/session_1/iris_user_003_s1_sample1.png
