subject_id,sessions,face,fingerprint,iris
user_001,2,1,1,1
user_002,2,1,1,1
user_003,2,1,1,1
user_004,2,1,1,1
user_005,2,1,1,1
user_006,2,1,1,1
user_007,2,1,1,1
user_008,2,1,1,1
user_009,2,1,1,1
user_010,2,1,1,1
user_011,2,1,1,1
user_012,2,1,1,1
user_013,2,1,1,1
user_014,2,1,1,1
user_015,2,1,1,1
user_016,2,1,1,1
user_017,2,1,1,1
user_018,2,1,1,1
user_019,2,1,1,1
user_020,2,1,1,1
user_021,2,1,1,1
user_022,2,1,1,1
user_023,2,1,1,1
user_024,2,1,1,1
user_025,2,1,1,1
user_026,2,1,1,1
user_027,2,1,1,1
user_028,2,1,1,1
user_029,2,1,1,1
user_030,2,1,1,1
